site_id,local_id,asset_id,x_make,x_model,asset_type,x_tonnage,x_evap_hp,x_eer,x_refrig_type,year,age,x_economizer,x_vfd,x_cmp_stg,x_condition,strategy,cost,n_make,n_model,n_tonnage,n_evap_hp,n_eer,n_economizer,n_vfd,n_cmp_stg
Shawnee,139,Shawnee-139,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,140,Shawnee-140,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,141,Shawnee-141,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,142,Shawnee-142,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,143,Shawnee-143,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,145,Shawnee-145,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,146,Shawnee-146,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,147,Shawnee-147,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,148,Shawnee-148,,,PKG,10,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Shawnee,144,Shawnee-144,,,PKG,10,1.5,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Tulsa,78,Tulsa-78,,,PKG,10,1.5,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZXG12D4A3AA1A111A2,10,1.5,11,FALSE,TRUE,2
Anderson,4,Anderson-4,,,CDU,10,2,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,YC120C00A4AAA5 / NL120C00C2BAA4,10,2,11.4,FALSE,TRUE,1
Shawnee,153,Shawnee-153,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,154,Shawnee-154,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,155,Shawnee-155,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,156,Shawnee-156,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,149,Shawnee-149,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,150,Shawnee-150,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Tulsa,93,Tulsa-93,Trane,YSC120F4RMA1MS5,PKG,10,3.75,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Trane,YSC120F4RMA1MS5,10,3.75,10.08,FALSE,TRUE,2
Shawnee,157,Shawnee-157,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
